    # BBN prediction of the primordial abundances (He-4 and Deuterium) as a function of
    # 1)the baryon density $\Omega_b h^2$ and
    # 2)the number of extra relativistic degrees of freedom $\Delta N$
    #
    # $\Delta N=0$ is the number of extra relativistic species (which mimic decoupled neutrinos).
    # If $\Delta N=0$, then $N_{eff} = 3.0440$ because of QED effects and Incomplete Neutrino decoupling (arXiv:2008.01074).
    #
    # Computation performed with PRIMAT (Python port by Cyril Pitrou 2018-2026)
    # Details on arXiv:1801.08023 and update arXiv:2011.11320
    # Last update 2026 (notably including the LUNA rate for the d(p,g)He3 reaction)
    #
    # Neutron Decay rate $\tau_n$ is 878.4s (+-0.5s), following Particle Data Group 2026
    # CMB temperature is 2.7255 K (without taking into account a possible uncertainty)
    #
    # He4 is given either as $Y^BBN_P = 4 Y_{He4}$ where $Y_{He4}$ is the ratio of He-4 number density to baryons number density.
    # He4 is also provided as $Y_P = Y_{He4} * m_{He4} /[Y_{He4} m_{He4} + (1 - 4*Y_{He4}) m_H1]$
    # where $m_{He4}=4.0026032541$ and $m_H1=1.00782503223$ are atomic masses.
    #
    # Deuterium is given as the ratio of its number density to the H1 number density and noted $D/H$.
    #
    # eta10 is $10^{10} eta_0$ where $eta_0$ is the density ratio between baryons and photons AT THE END OF BBN.
    # Hence eta10 ignores the extra production of He4 by stars after BBN. Whenever possible, working with $\Omega_b h^2$ is better.
    #
    # Errors are computed with a Monte-Carlo method on 1000 samples, varying nuclear rates and tau_n.
    # See PRIMAT paper (2018) for details.
    #
    # Ombh2       eta10       DeltaN          Yp              Yp^BBN          sig(Yp^BBN)     D/H             sig(D/H)
  0.007000    1.91624     -2.000000       0.201741        0.202894        0.0001073262    0.0001127021    8.839744e-07
  0.008000    2.18999     -2.000000       0.203440        0.204600        0.0001067397    9.131962e-05    7.294733e-07
  0.009000    2.46374     -2.000000       0.204860        0.206026        0.0001063389    7.594129e-05    6.190688e-07
  0.010000    2.73748     -2.000000       0.206079        0.207250        0.0001059984    6.443556e-05    5.371712e-07
  0.011000    3.01123     -2.000000       0.207145        0.208321        0.000105859     5.555054e-05    4.74555e-07
  0.012000    3.28498     -2.000000       0.208093        0.209272        0.0001056067    4.851021e-05    4.254686e-07
  0.013000    3.55873     -2.000000       0.208945        0.210128        0.0001055307    4.281145e-05    3.861539e-07
  0.014000    3.83248     -2.000000       0.209719        0.210906        0.000105383     3.811533e-05    3.540913e-07
  0.015000    4.10623     -2.000000       0.210429        0.211619        0.0001053129    3.41863e-05     3.275151e-07
  0.016000    4.37997     -2.000000       0.211083        0.212275        0.0001052019    3.085584e-05    3.051794e-07
  0.017000    4.65372     -2.000000       0.211690        0.212885        0.0001051477    2.800108e-05    2.86164e-07
  0.018000    4.92747     -2.000000       0.212257        0.213454        0.0001050854    2.552993e-05    2.697799e-07
  0.019000    5.20122     -2.000000       0.212789        0.213988        0.0001049541    2.337256e-05    2.555217e-07
  0.020000    5.47497     -2.000000       0.213288        0.214489        0.0001049109    2.14747e-05     2.429809e-07
  0.020200    5.52972     -2.000000       0.213384        0.214586        0.0001048862    2.112236e-05    2.406493e-07
  0.020400    5.58447     -2.000000       0.213480        0.214682        0.00010489      2.077832e-05    2.383759e-07
  0.020600    5.63922     -2.000000       0.213574        0.214777        0.0001048735    2.044249e-05    2.361529e-07
