reaction,Q_keV,alpha,beta,gamma
He3tTOLi6g,15794.1,2.445992e+10,1.5,-183.28349
He3tTOad,14320.4,1.5981381,0,-166.18124
He3tTOanp,12095.8,3.3886562e-10,-1.5,-140.36622
Li6He3TOBe7d,113.376,0.72713209,0,-1.3156783
Li6He3TOaap,16879.3,7.2462491e-10,-1.5,-195.8761
Li6aTOB10g,4461.19,1.576277e+10,1.5,-51.769905
Li6dTOBe7n,3382.29,2.5185377,0,-39.24979
Li6dTOLi7p,5026.53,2.5239503,0,-58.330426
Li6nTOLi7g,7251.09,1.1903306e+10,1.5,-84.145446
Li6nTOta,4783.47,1.0691921,0,-55.509884
Li6pTOBe7g,5606.85,1.187778e+10,1.5,-65.064809
Li6pTOHe3a,4019.72,1.067287,0,-46.646875
Li6tTOBe9g,17688.2,4.2265097e+10,1.5,-205.26352
Li6tTOLi7d,993.863,0.72739637,0,-11.533306
Li6tTOLi8p,801.92,2.0175581,0,-9.3058979
Li6tTOaan,16115.5,7.2333377e-10,-1.5,-187.01309
Li7He3TOB10g,17787.7,3.4631852e+10,1.5,-206.41784
Li7He3TOBe9p,11200.9,3.5570403,0,-129.98108
Li7He3TOLi6a,13326.5,2.1970664,0,-154.64793
Li7He3TOaad,11852.8,2.8709952e-10,-1.5,-137.54568
Li7He3TOaanp,9628.2,6.0875937e-20,-3,-111.73066
Li7aTOB10n,-2789.91,1.3242346,0,32.375541
Li7aTOB11g,8664.31,4.0187305e+10,1.5,-100.54518
Li7dTOBe9g,16694.4,5.810463e+10,1.5,-193.73021
Li7dTOLi8p,-191.943,2.7736709,0,2.227408
Li7dTOaan,15121.7,9.9441489e-10,-1.5,-175.47979
Li7nTOLi8g,2032.62,1.3081024e+10,1.5,-23.587612
Li7pTOaa,17346.2,4.6898011,0,-201.29481
Li7pTOaag,17346.2,4.6898011,0,-201.29481
Li7tTOBe10g,17249.4,2.4244989e+11,1.5,-200.17128
Li7tTOBe9n,10437.1,3.5507024,0,-121.11807
Li7tTOaann,8864.45,1.2153494e-19,-3,-102.86765
Li8He3TOB10n,15755.1,2.6474879,0,-182.83022
Li8He3TOB11g,27209.3,8.034483e+10,1.5,-315.75094
Li8He3TOBe10p,15980.6,18.567558,0,-185.44667
Li8He3TOBe9d,11392.8,1.2824306,0,-132.20849
Li8He3TOLi7a,18545,1.999259,0,-215.20577
Li8He3TOaat,16077.4,3.5915937e-10,-1.5,-186.5702
Li8aTOB11n,6631.69,3.0721835,0,-76.957564
Li8aTOB12g,10001.3,7.183917e+10,1.5,-116.06045
Li8dTOBe10g,21474,3.0330302e+11,1.5,-249.1958
Li8dTOBe9n,14661.8,4.4419024,0,-170.1426
Li8dTOLi7t,4224.61,1.2509926,0,-49.024528
Li8dTOLi9p,1837.64,4.4398826,0,-21.324948
Li8nTOLi9g,4062.21,2.0939114e+10,1.5,-47.139968
Li8pTOBe9g,16886.3,2.0948639e+10,1.5,-195.95762
Li8pTOaan,15313.6,3.5851942e-10,-1.5,-177.7072
Li8tTOBe10n,15216.8,18.534474,0,-176.58366
Li8tTOBe11g,15718.4,1.6045285e+11,1.5,-182.40493
Li9He3TOB11n,23147.1,3.8370693,0,-268.61097
Li9He3TOB12g,26516.7,8.972507e+10,1.5,-307.71386
Li9He3TOBe10d,14142.9,4.1819929,0,-164.12172
Li9He3TOBe11p,12420,7.6765073,0,-144.12797
Li9He3TOBe9t,13587.9,1.0022407,0,-157.68066
Li9He3TOLi8a,16515.4,1.2489714,0,-191.65341
Li9aTOB12n,5939.11,3.4308601,0,-68.920484
Li9aTOB13g,10817.9,4.5613951e+10,1.5,-125.53682
Li9dTOBe10n,17411.8,14.484998,0,-202.05584
Li9dTOBe11g,17913.5,1.2539656e+11,1.5,-207.8771
Li9dTOLi8t,2195.02,0.78151655,0,-25.472173
Li9pTOBe10g,19636.4,6.8313297e+10,1.5,-227.87086
Li9pTOBe9n,12824.1,1.0004549,0,-148.81765
