# T[K] Gamma_pTOn[1/s]
# fingerprint_hash: 4fdc559c1b4cbbf9
# fingerprint: {"QED_corrections":true,"T_end_MeV":0.001,"T_start_cosmo_MeV":40.0,"analytic_distortions":false,"delta_xi_nu":0.0,"external_scale_factor":false,"finite_mass_corrections":true,"format_version":2,"incomplete_decoupling":true,"munuOverTnu":0.0,"n_temperature_table":2000,"nevo_file":null,"nevo_file_prefix":"NEVOPRIMAT","nevo_grid_file":null,"nevo_spectral_file":null,"radiative_corrections":true,"sampling_nTOp":200,"spectral_distortions":true,"thermal_corrections":true,"thermal_fingerprint_hash":"c21cbe75255f86fb","y_SZ":0.0}
6.358000802477999878e+10 5.591095702501830645e+06
6.659185009718277740e+10 7.065079422182768583e+06
6.974636583306761169e+10 8.924061911795804277e+06
7.305031381198823547e+10 1.126766413389210403e+07
7.651077277348162842e+10 1.422111467846250907e+07
8.013515678333279419e+10 1.794173073108934611e+07
8.393123111828080750e+10 2.262680899623272195e+07
8.790712890319580078e+10 2.852415231269872561e+07
9.207136853637718201e+10 3.594446208748317510e+07
9.643287194030070496e+10 4.527757148154111207e+07
1.010009836769212646e+11 5.701160295734912902e+07
1.057854909684846497e+11 7.175752025657680631e+07
1.107966446667433624e+11 9.028198162751652300e+07
1.160451812155009613e+11 1.135404275226244926e+08
