# Source: primat qed_pressure.py — QED plasma-pressure corrections delta_P(T)
# delta_P_a [O(e^2), one-loop] and delta_P_e3 [O(e^3), ring/plasmon];
# Reference: Pitrou et al., Phys. Rep. (2018), eq. 47; PRIMAT-Main.m: dPa, dPe3
# T [MeV]       dP_a [MeV^4]      dP_e3 [MeV^4]      d(dP_a)/dT [MeV^3]  d(dP_e3)/dT [MeV^3]  d2(dP_a)/dT2 [MeV^2]  d2(dP_e3)/dT2 [MeV^2]
7.477346E-02 -1.798722E-10 1.152090E-11 -2.498582E-08 1.902984E-09 -2.914265E-06 2.676481E-07
7.651869E-02 -2.281725E-10 1.527912E-11 -3.051209E-08 2.420750E-09 -3.418735E-06 3.257023E-07
7.830465E-02 -2.884259E-10 2.015842E-11 -3.713464E-08 3.063751E-09 -3.997498E-06 3.943592E-07
8.013230E-02 -3.633398E-10 2.646150E-11 -4.504557E-08 3.858331E-09 -4.659454E-06 4.751514E-07
8.200261E-02 -4.561784E-10 3.456396E-11 -5.446607E-08 4.835484E-09 -5.414302E-06 5.697626E-07
8.391656E-02 -5.708651E-10 4.492979E-11 -6.565017E-08 6.031512E-09 -6.272583E-06 6.800326E-07
8.587519E-02 -7.121033E-10 5.812946E-11 -7.888886E-08 7.488727E-09 -7.245726E-06 8.079607E-07
8.787954E-02 -8.855150E-10 7.486134E-11 -9.451455E-08 9.256227E-09 -8.346092E-06 9.557077E-07
8.993067E-02 -1.097803E-09 9.597655E-11 -1.129061E-07 1.139074E-08 -9.587017E-06 1.125597E-06
9.202967E-02 -1.356937E-09 1.225081E-10 -1.344942E-07 1.395751E-08 -1.098286E-05 1.320112E-06
9.417766E-02 -1.672371E-09 1.557047E-10 -1.597674E-07 1.703130E-08 -1.254905E-05 1.541898E-06
9.637579E-02 -2.055288E-09 1.970695E-10 -1.892785E-07 2.069739E-08 -1.430213E-05 1.793754E-06
9.862522E-02 -2.518892E-09 2.484053E-10 -2.236520E-07 2.505272E-08 -1.625980E-05 2.078629E-06
1.009272E-01 -3.078730E-09 3.118657E-10 -2.635914E-07 3.020703E-08 -1.844096E-05 2.399615E-06
1.032828E-01 -3.753071E-09 3.900143E-10 -3.098881E-07 3.628411E-08 -2.086576E-05 2.759939E-06
1.056935E-01 -4.563333E-09 4.858920E-10 -3.634302E-07 4.342310E-08 -2.355566E-05 3.162954E-06
1.081604E-01 -5.534577E-09 6.030926E-10 -4.252127E-07 5.177985E-08 -2.653344E-05 3.612127E-06
1.106848E-01 -6.696064E-09 7.458501E-10 -4.963486E-07 6.152835E-08 -2.982329E-05 4.111027E-06
1.132683E-01 -8.081891E-09 9.191358E-10 -5.780800E-07 7.286220E-08 -3.345080E-05 4.663316E-06
1.159120E-01 -9.731711E-09 1.128768E-09 -6.717913E-07 8.599619E-08 -3.744308E-05 5.272731E-06
1.186174E-01 -1.169156E-08 1.381537E-09 -7.790226E-07 1.011679E-07 -4.182871E-05 5.943078E-06
