# Source: primat qed_pressure.py — QED plasma-pressure correction delta_P_a(T)
# delta_P_a: O(e^2), one-loop (Frenkel-Galitskii-Migdal)
# Reference: Pitrou et al., Phys. Rep. (2018), eq. 47; PRIMAT-Main.m: dPa
# T [MeV]       dP_a [MeV^4]      d(dP_a)/dT [MeV^3]  d2(dP_a)/dT2 [MeV^2]
6.217090E-02 -2.338744E-11 -4.424488E-09 -7.147608E-07
6.362198E-02 -3.061245E-11 -5.569579E-09 -8.634975E-07
6.510694E-02 -3.989954E-11 -6.982137E-09 -1.039001E-06
6.662655E-02 -5.178869E-11 -8.717752E-09 -1.245289E-06
6.818162E-02 -6.694855E-11 -1.084210E-08 -1.486851E-06
6.977300E-02 -8.620404E-11 -1.343248E-08 -1.768685E-06
7.140151E-02 -1.105692E-10 -1.657961E-08 -2.096338E-06
7.306804E-02 -1.412864E-10 -2.038953E-08 -2.475944E-06
7.477346E-02 -1.798722E-10 -2.498582E-08 -2.914265E-06
7.651869E-02 -2.281725E-10 -3.051209E-08 -3.418735E-06
7.830465E-02 -2.884259E-10 -3.713464E-08 -3.997498E-06
8.013230E-02 -3.633398E-10 -4.504557E-08 -4.659454E-06
8.200261E-02 -4.561784E-10 -5.446607E-08 -5.414302E-06
8.391656E-02 -5.708651E-10 -6.565017E-08 -6.272583E-06
8.587519E-02 -7.121033E-10 -7.888886E-08 -7.245726E-06
8.787954E-02 -8.855150E-10 -9.451455E-08 -8.346092E-06
8.993067E-02 -1.097803E-09 -1.129061E-07 -9.587017E-06
9.202967E-02 -1.356937E-09 -1.344942E-07 -1.098286E-05
9.417766E-02 -1.672371E-09 -1.597674E-07 -1.254905E-05
9.637579E-02 -2.055288E-09 -1.892785E-07 -1.430213E-05
9.862522E-02 -2.518892E-09 -2.236520E-07 -1.625980E-05
1.009272E-01 -3.078730E-09 -2.635914E-07 -1.844096E-05
1.032828E-01 -3.753071E-09 -3.098881E-07 -2.086576E-05
1.056935E-01 -4.563333E-09 -3.634302E-07 -2.355566E-05
1.081604E-01 -5.534577E-09 -4.252127E-07 -2.653344E-05
1.106848E-01 -6.696064E-09 -4.963486E-07 -2.982329E-05
1.132683E-01 -8.081891E-09 -5.780800E-07 -3.345080E-05
1.159120E-01 -9.731711E-09 -6.717913E-07 -3.744308E-05
1.186174E-01 -1.169156E-08 -7.790226E-07 -4.182871E-05
1.213859E-01 -1.401478E-08 -9.014849E-07 -4.663787E-05
1.242191E-01 -1.676306E-08 -1.041076E-06 -5.190235E-05
1.271184E-01 -2.000765E-08 -1.199896E-06 -5.765557E-05
1.300854E-01 -2.383069E-08 -1.380271E-06 -6.393267E-05
1.331216E-01 -2.832669E-08 -1.584765E-06 -7.077053E-05
1.362287E-01 -3.360426E-08 -1.816209E-06 -7.820780E-05
1.394083E-01 -3.978804E-08 -2.077720E-06 -8.628499E-05
1.426621E-01 -4.702079E-08 -2.372727E-06 -9.504447E-05
1.459919E-01 -5.546583E-08 -2.704996E-06 -1.045306E-04
1.493993E-01 -6.530975E-08 -3.078660E-06 -1.147895E-04
1.528864E-01 -7.676541E-08 -3.498251E-06 -1.258696E-04
1.564548E-01 -9.007531E-08 -3.968728E-06 -1.378213E-04
1.601064E-01 -1.055154E-07 -4.495518E-06 -1.506971E-04
1.638434E-01 -1.233992E-07 -5.084548E-06 -1.645518E-04
1.676675E-01 -1.440828E-07 -5.742288E-06 -1.794422E-04
1.715809E-01 -1.679694E-07 -6.475795E-06 -1.954276E-04
1.755856E-01 -1.955162E-07 -7.292756E-06 -2.125699E-04
1.796838E-01 -2.272399E-07 -8.201539E-06 -2.309331E-04
1.838777E-01 -2.637245E-07 -9.211247E-06 -2.505841E-04
1.881694E-01 -3.056291E-07 -1.033177E-05 -2.715921E-04
1.925614E-01 -3.536968E-07 -1.157385E-05 -2.940293E-04
