# grid rho_e p_e drho_e_dT dp_e_dT
# fingerprint_hash: 930c11db8e5d4639
# fingerprint: {"T_start_cosmo_MeV":40.0,"format_version":1,"n_electron_table":2000}
2.059315613669204126e+01 2.070707819341005234e+05 6.901744750559583190e+04 4.022217823792388663e+04 1.340679532593510703e+04
2.068694192571019741e+01 2.108688989896796702e+05 7.028343036700437369e+04 4.077423508827892510e+04 1.359081155476246568e+04
2.078115483596044655e+01 2.147366807784500415e+05 7.157263429342686140e+04 4.133386894582340028e+04 1.377735344026189705e+04
2.087579681264737630e+01 2.186754050777466909e+05 7.288548520596108574e+04 4.190118380500721833e+04 1.396645564719361937e+04
2.097086980983447901e+01 2.226863731015897938e+05 7.422241683789025410e+04 4.247628508760304248e+04 1.415815331609179884e+04
2.106637579048443598e+01 2.267709099305510754e+05 7.558387087797181448e+04 4.305927966229578306e+04 1.435248206979447423e+04
2.116231672649974271e+01 2.309303649495125574e+05 7.697029711635637796e+04 4.365027586454211996e+04 1.454947802006330130e+04
2.125869459876336620e+01 2.351661122934463783e+05 7.838215359318080300e+04 4.424938351670155680e+04 1.474917777429397756e+04
2.135551139717964375e+01 2.394795513013755844e+05 7.981990674988758110e+04 4.485671394844409951e+04 1.495161844231876239e+04
2.145276912071538788e+01 2.438721069786595763e+05 8.128403158332040766e+04 4.547238001743823406e+04 1.515683764330249505e+04
2.155046977744115821e+01 2.483452304677603825e+05 8.277501180264508002e+04 4.609649613032267371e+04 1.536487351273313107e+04
2.164861538457265056e+01 2.529003995276380156e+05 8.429333998914810945e+04 4.672917826396544115e+04 1.557576470950815383e+04
2.174720796851247684e+01 2.575391190219504933e+05 8.583951775896901381e+04 4.737054398701615719e+04 1.578955042311864963e+04
2.184624956489191305e+01 2.622629214161957498e+05 8.741405592881439952e+04 4.802071248175254004e+04 1.600627038093143892e+04
2.194574221861294205e+01 2.670733672839779756e+05 8.901747468471304455e+04 4.867980456622760539e+04 1.622596485557154301e+04
2.204568798389051310e+01 2.719720458225603797e+05 9.065030375386627566e+04 4.934794271672084142e+04 1.644867467240584665e+04
2.214608892429485110e+01 2.769605753778694198e+05 9.231308257964804943e+04 5.002525109049666935e+04 1.667444121712928245e+04
2.224694711279421355e+01 2.820406039791367366e+05 9.400636049982027907e+04 5.071185554887697072e+04 1.690330644345565815e+04
2.234826463179758349e+01 2.872138098833389231e+05 9.573069692801061319e+04 5.140788368062843074e+04 1.713531288091345050e+04
2.245004357319769639e+01 2.924819021296266001e+05 9.748666153852287971e+04 5.211346482567205385e+04 1.737050364274896128e+04
2.255228603841423052e+01 2.978466211039246991e+05 9.927483445453594322e+04 5.282873009911756526e+04 1.760892243393779063e+04
2.265499413843721754e+01 3.033097391138859093e+05 1.010958064397548733e+05 5.355381241562808282e+04 1.785061355930640639e+04
2.275816999387053485e+01 3.088730609743872192e+05 1.029501790935756580e+05 5.428884651411836239e+04 1.809562193176483925e+04
2.286181573497583130e+01 3.145384246037735720e+05 1.048385650498333853e+05 5.503396898279349261e+04 1.834399308065298828e+04
2.296593350171641035e+01 3.203077016310311737e+05 1.067615881791915308e+05 5.578931828452971968e+04 1.859577316020084982e+04
2.307052544380144710e+01 3.261827980140966829e+05 1.087198837952458416e+05 5.655503478260457632e+04 1.885100895810521251e+04
2.317559372073036528e+01 3.321656546695125289e+05 1.107140988644082245e+05 5.733126076677969832e+04 1.910974790422396836e+04
2.328114050183745221e+01 3.382582481136275455e+05 1.127448922196403873e+05 5.811814047974207642e+04 1.937203807938984392e+04
2.338716796633654482e+01 3.444625911155542126e+05 1.148129347781050601e+05 5.891582014390706900e+04 1.963792822434471964e+04
2.349367830336618468e+01 3.507807333621155121e+05 1.169189097628150193e+05 5.972444798859149159e+04 1.990746774879733857e+04
2.360067371203470543e+01 3.572147621349736000e+05 1.190635129283419810e+05 6.054417427755718381e+04 2.018070674060453530e+04
2.370815640146566139e+01 3.637668030001856969e+05 1.212474527906682924e+05 6.137515133693430835e+04 2.045769597507890285e+04
2.381612859084345502e+01 3.704390205104065244e+05 1.234714508612530772e+05 6.221753358352705982e+04 2.073848692442412721e+04
2.392459250945915983e+01 3.772336189199706423e+05 1.257362418853935524e+05 6.307147755350840453e+04 2.102313176729985571e+04
2.403355039675646765e+01 3.841528429130841978e+05 1.280425740849548311e+05 6.393714193150770006e+04 2.131168339851754354e+04
2.414300450237806217e+01 3.911989783453874988e+05 1.303912094055563939e+05 6.481468758009918383e+04 2.160419543887001055e+04
2.425295708621197477e+01 3.983743529991045361e+05 1.327829237682886887e+05 6.570427756969360053e+04 2.190072224509526859e+04
2.436341041843826360e+01 4.056813373520508758e+05 1.352185073260483332e+05 6.660607720884094306e+04 2.220131891997742787e+04
2.447436677957589524e+01 4.131223453607423580e+05 1.376987647245737026e+05 6.752025407494873798e+04 2.250604132258618483e+04
2.458582846052984650e+01 4.206998352578749182e+05 1.402245153682713863e+05 6.844697804542242375e+04 2.281494607865685248e+04
2.469779776263830229e+01 4.284163103644160437e+05 1.427965936909119773e+05 6.938642132923178724e+04 2.312809059111260649e+04
2.481027699772033301e+01 4.362743199166132836e+05 1.454158494313007395e+05 7.033875849891308462e+04 2.344553305073179217e+04
2.492326848812351514e+01 4.442764599081530469e+05 1.480831479139942676e+05 7.130416652300798160e+04 2.376733244696088514e+04
2.503677456677191060e+01 4.524253739477741183e+05 1.507993703351732402e+05 7.228282479894891731e+04 2.409354857887638718e+04
2.515079757721423448e+01 4.607237541326101054e+05 1.535654140537545027e+05 7.327491518639567948e+04 2.442424206629685068e+04
2.526533987367226786e+01 4.691743419375518570e+05 1.563821928878460021e+05 7.428062204102949181e+04 2.475947436104773806e+04
2.538040382108935944e+01 4.777799291209135554e+05 1.592506374166335736e+05 7.530013224881015776e+04 2.509930775838034606e+04
2.549599179517941394e+01 4.865433586467284476e+05 1.621716952878133161e+05 7.633363526070523949e+04 2.544380540854827996e+04
2.561210618247582715e+01 4.954675256239427254e+05 1.651463315306550357e+05 7.738132312789396383e+04 2.579303132854203432e+04
2.572874938038080828e+01 5.045553782628453919e+05 1.681755288748119201e+05 7.844339053745538695e+04 2.614705041398504909e+04
2.584592379721485855e+01 5.138099188490383094e+05 1.712602880749766482e+05 7.952003484854585258e+04 2.650592845119291451e+04
2.596363185226653769e+01 5.232342047352739028e+05 1.744016282414926682e+05 8.061145612907368923e+04 2.686973212939820951e+04
2.608187597584229067e+01 5.328313493514708243e+05 1.776005871770269587e+05 8.171785719287558459e+04 2.723852905314262534e+04
2.620065860931680390e+01 5.426045232332788873e+05 1.808582217194228724e+05 8.283944363740595873e+04 2.761238775484016878e+04
2.631998220518329390e+01 5.525569550694916397e+05 1.841756080908382137e+05 8.397642388194131490e+04 2.799137770751180869e+04
2.643984922710417607e+01 5.626919327686752658e+05 1.875538422532860714e+05 8.512900920630947803e+04 2.837556933769536772e+04
2.656026214996195378e+01 5.730128045453613158e+05 1.909940402707004396e+05 8.629741379015130224e+04 2.876503403853264172e+04
2.668122345991021405e+01 5.835229800261562923e+05 1.944973386776377447e+05 8.748185475271925679e+04 2.915984418303566417e+04
2.680273565442511341e+01 5.942259313761567464e+05 1.980648948547477485e+05 8.868255219322520134e+04 2.956007313753591370e+04
2.692480124235685324e+01 6.051251944460060913e+05 2.016978874111249752e+05 8.989972923173937306e+04 2.996579527531733402e+04
2.704742274398147472e+01 6.162243699399983743e+05 2.053975165736772178e+05 9.113361205065145623e+04 3.037708599043669528e+04
2.717060269105293457e+01 6.275271246056044474e+05 2.091650045836312929e+05 9.238442993670135911e+04 3.079402171173386159e+04
2.729434362685536541e+01 6.390371924448208883e+05 2.130015961003192351e+05 9.365241532358627592e+04 3.121667991703408188e+04
2.741864810625551030e+01 6.507583759477275889e+05 2.169085586123593093e+05 9.493780383515177527e+04 3.164513914754510188e+04
2.754351869575561196e+01 6.626945473486860283e+05 2.208871828563908348e+05 9.624083432917793107e+04 3.207947902245246951e+04
2.766895797354631625e+01 6.748496499055663589e+05 2.249387832434803422e+05 9.756174894176420639e+04 3.251978025371453623e+04
2.779496852955990960e+01 6.872276992024354404e+05 2.290646982933535473e+05 9.890079313232435379e+04 3.296612466106074135e+04
2.792155296552380506e+01 6.998327844761539018e+05 2.332662910765903653e+05 1.002582157291988697e+05 3.341859518719575135e+04
2.804871389501429491e+01 7.126690699672891060e+05 2.375449496649278444e+05 1.016342689758940396e+05 3.387727591321250657e+04
2.817645394351038135e+01 7.257407962958007120e+05 2.419020875898299855e+05 1.030292085779534245e+05 3.434225207421601954e+04
2.830477574844816502e+01 7.390522818620017497e+05 2.463391443094590213e+05 1.044432937504763686e+05 3.481361007516284735e+04
2.843368195927518727e+01 7.526079242731526028e+05 2.508575856842201320e+05 1.058767872662851005e+05 3.529143750691690366e+04
2.856317523750516330e+01 7.664122017962704413e+05 2.554589044610220590e+05 1.073299555047551112e+05 3.577582316252611054e+04
2.869325825677292485e+01 7.804696748375593452e+05 2.601446207664255053e+05 1.088030685013146576e+05 3.626685705372231314e+04
2.882393370288966139e+01 7.947849874489945360e+05 2.649162826088308357e+05 1.102963999976245541e+05 3.676463042764786223e+04
2.895520427389825002e+01 8.093628688625139184e+05 2.697754663898784202e+05 1.118102274924448284e+05 3.726923578381112748e+04
2.908707268012914327e+01 8.242081350523848087e+05 2.747237774252379313e+05 1.133448322932026786e+05 3.778076689127589634e+04
2.921954164425620348e+01 8.393256903261907864e+05 2.797628504749337444e+05 1.149004995682652079e+05 3.829931880608553183e+04
2.935261390135296011e+01 8.547205289450293640e+05 2.848943502834111569e+05 1.164775183999309811e+05 3.882498788892684388e+04
2.948629219894906228e+01 8.703977367734006839e+05 2.901199721294993069e+05 1.180761818381487101e+05 3.935787182303638110e+04
2.962057929708705828e+01 8.863624929593994748e+05 2.954414423864696873e+05 1.196967869549735478e+05 3.989806963235242438e+04
2.975547796837924253e+01 9.026200716456281953e+05 3.008605190923552145e+05 1.213396348997689784e+05 4.044568169991569448e+04
2.989099099806509230e+01 9.191758437116722343e+05 3.063789925307473750e+05 1.230050309551698592e+05 4.100080978652367776e+04
3.002712118406865116e+01 9.360352785483276239e+05 3.119986858222269802e+05 1.246932845938103128e+05 4.156355704963987228e+04
3.016387133705632451e+01 9.532039458644802216e+05 3.177214555266557145e+05 1.264047095358313672e+05 4.213402806256310578e+04
